
**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_02_12 	NORMAL    	Executing precommand
2016-09-14_10_02_12 	NORMAL    	Executing steps
2016-09-14_10_02_12 	NORMAL    	Executing postcommand
2016-09-14_10_02_12 	NORMAL    	Executing verify
2016-09-14_10_02_12 	NORMAL    		实际测试结果：[]
2016-09-14_10_02_12 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_03_28 	NORMAL    	Executing precommand
2016-09-14_10_03_28 	NORMAL    	Executing steps
2016-09-14_10_03_28 	NORMAL    	Executing postcommand
2016-09-14_10_03_28 	NORMAL    	Executing verify
2016-09-14_10_03_28 	NORMAL    		实际测试结果：[]
2016-09-14_10_03_28 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_04_27 	NORMAL    	Executing precommand
2016-09-14_10_04_27 	NORMAL    	Executing steps
2016-09-14_10_04_27 	NORMAL    	Executing postcommand
2016-09-14_10_04_27 	NORMAL    	Executing verify
2016-09-14_10_04_27 	NORMAL    		实际测试结果：[]
2016-09-14_10_04_27 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_04_35 	NORMAL    	Executing precommand
2016-09-14_10_04_35 	NORMAL    	Executing steps
2016-09-14_10_04_35 	NORMAL    	Executing postcommand
2016-09-14_10_04_35 	NORMAL    	Executing verify
2016-09-14_10_04_35 	NORMAL    		实际测试结果：[]
2016-09-14_10_04_35 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_05_25 	NORMAL    	Executing precommand
2016-09-14_10_05_25 	NORMAL    	Executing steps
2016-09-14_10_05_25 	NORMAL    	Executing postcommand
2016-09-14_10_05_25 	NORMAL    	Executing verify
2016-09-14_10_05_25 	NORMAL    		实际测试结果：[]
2016-09-14_10_05_25 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_06_21 	NORMAL    	Executing precommand
2016-09-14_10_06_21 	NORMAL    	Executing steps
2016-09-14_10_06_21 	NORMAL    	Executing postcommand
2016-09-14_10_06_21 	NORMAL    	Executing verify
2016-09-14_10_06_21 	NORMAL    		实际测试结果：[]
2016-09-14_10_06_21 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_09_22 	NORMAL    	Executing precommand
2016-09-14_10_09_22 	NORMAL    	Executing steps
2016-09-14_10_09_22 	NORMAL    	Executing postcommand
2016-09-14_10_09_22 	NORMAL    	Executing verify
2016-09-14_10_09_22 	NORMAL    		实际测试结果：[]
2016-09-14_10_09_22 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_11_35 	NORMAL    	Executing precommand
2016-09-14_10_11_35 	NORMAL    	Executing steps
2016-09-14_10_11_35 	NORMAL    	Executing postcommand
2016-09-14_10_11_35 	NORMAL    	Executing verify
2016-09-14_10_11_35 	NORMAL    		实际测试结果：[]
2016-09-14_10_11_35 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_12_31 	NORMAL    	Executing precommand
2016-09-14_10_12_31 	NORMAL    	Executing steps
2016-09-14_10_12_31 	NORMAL    	Executing postcommand
2016-09-14_10_12_31 	NORMAL    	Executing verify
2016-09-14_10_12_31 	NORMAL    		实际测试结果：[]
2016-09-14_10_12_31 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_16_19 	NORMAL    	Executing precommand
2016-09-14_10_16_19 	NORMAL    	Executing steps
2016-09-14_10_16_19 	NORMAL    	Executing postcommand
2016-09-14_10_16_19 	NORMAL    	Executing verify
2016-09-14_10_16_19 	NORMAL    		实际测试结果：[]
2016-09-14_10_16_19 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_17_44 	NORMAL    	Executing precommand
2016-09-14_10_17_44 	NORMAL    	Executing steps
2016-09-14_10_17_44 	NORMAL    	Executing postcommand
2016-09-14_10_17_44 	NORMAL    	Executing verify
2016-09-14_10_17_44 	NORMAL    		实际测试结果：[]
2016-09-14_10_17_44 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_18_48 	NORMAL    	Executing precommand
2016-09-14_10_18_48 	NORMAL    	Executing steps
2016-09-14_10_18_48 	NORMAL    	Executing postcommand
2016-09-14_10_18_48 	NORMAL    	Executing verify
2016-09-14_10_18_48 	NORMAL    		实际测试结果：[]
2016-09-14_10_18_48 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_19_23 	NORMAL    	Executing precommand
2016-09-14_10_19_23 	NORMAL    	Executing steps
2016-09-14_10_19_23 	NORMAL    	Executing postcommand
2016-09-14_10_19_23 	NORMAL    	Executing verify
2016-09-14_10_19_23 	NORMAL    		实际测试结果：[]
2016-09-14_10_19_23 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_23_22 	NORMAL    	Executing precommand
2016-09-14_10_23_22 	NORMAL    	Executing steps
2016-09-14_10_23_22 	NORMAL    	Executing postcommand
2016-09-14_10_23_22 	NORMAL    	Executing verify
2016-09-14_10_23_22 	NORMAL    		实际测试结果：[]
2016-09-14_10_23_22 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_24_17 	NORMAL    	Executing precommand
2016-09-14_10_24_17 	NORMAL    	Executing steps
2016-09-14_10_24_17 	NORMAL    	Executing postcommand
2016-09-14_10_24_17 	NORMAL    	Executing verify
2016-09-14_10_24_17 	NORMAL    		实际测试结果：[]
2016-09-14_10_24_17 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_26_45 	NORMAL    	Executing precommand
2016-09-14_10_26_45 	NORMAL    	Executing steps
2016-09-14_10_26_45 	NORMAL    	Executing postcommand
2016-09-14_10_26_45 	NORMAL    	Executing verify
2016-09-14_10_26_45 	NORMAL    		实际测试结果：[]
2016-09-14_10_26_45 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_27_17 	NORMAL    	Executing precommand
2016-09-14_10_27_17 	NORMAL    	Executing steps
2016-09-14_10_27_17 	NORMAL    	Executing postcommand
2016-09-14_10_27_17 	NORMAL    	Executing verify
2016-09-14_10_27_17 	NORMAL    		实际测试结果：[]
2016-09-14_10_27_17 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_29_22 	NORMAL    	Executing precommand
2016-09-14_10_29_22 	NORMAL    	Executing steps
2016-09-14_10_29_22 	NORMAL    	Executing postcommand
2016-09-14_10_29_22 	NORMAL    	Executing verify
2016-09-14_10_29_22 	NORMAL    		实际测试结果：[]
2016-09-14_10_29_22 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_33_20 	NORMAL    	Executing precommand
2016-09-14_10_33_20 	NORMAL    	Executing steps
2016-09-14_10_33_20 	NORMAL    	Executing postcommand
2016-09-14_10_33_20 	NORMAL    	Executing verify
2016-09-14_10_33_20 	NORMAL    		实际测试结果：[]
2016-09-14_10_33_20 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_36_22 	NORMAL    	Executing precommand
2016-09-14_10_36_22 	NORMAL    	Executing steps
2016-09-14_10_36_22 	NORMAL    	Executing postcommand
2016-09-14_10_36_22 	NORMAL    	Executing verify
2016-09-14_10_36_22 	NORMAL    		实际测试结果：[]
2016-09-14_10_36_22 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_41_50 	NORMAL    	Executing precommand
2016-09-14_10_41_50 	NORMAL    	Executing steps
2016-09-14_10_41_50 	NORMAL    	Executing postcommand
2016-09-14_10_41_50 	NORMAL    	Executing verify
2016-09-14_10_41_50 	NORMAL    		实际测试结果：[]
2016-09-14_10_41_50 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_43_22 	NORMAL    	Executing precommand
2016-09-14_10_43_22 	NORMAL    	Executing steps
2016-09-14_10_43_22 	NORMAL    	Executing postcommand
2016-09-14_10_43_22 	NORMAL    	Executing verify
2016-09-14_10_43_22 	NORMAL    		实际测试结果：[]
2016-09-14_10_43_22 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_45_09 	NORMAL    	Executing precommand
2016-09-14_10_45_09 	NORMAL    	Executing steps
2016-09-14_10_45_09 	NORMAL    	Executing postcommand
2016-09-14_10_45_09 	NORMAL    	Executing verify
2016-09-14_10_45_09 	NORMAL    		实际测试结果：[]
2016-09-14_10_45_09 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_46_13 	NORMAL    	Executing precommand
2016-09-14_10_46_13 	NORMAL    	Executing steps
2016-09-14_10_46_13 	NORMAL    	Executing postcommand
2016-09-14_10_46_13 	NORMAL    	Executing verify
2016-09-14_10_46_13 	NORMAL    		实际测试结果：[]
2016-09-14_10_46_13 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_47_50 	NORMAL    	Executing precommand
2016-09-14_10_47_50 	NORMAL    	Executing steps
2016-09-14_10_47_50 	NORMAL    	Executing postcommand
2016-09-14_10_47_50 	NORMAL    	Executing verify
2016-09-14_10_47_50 	NORMAL    		实际测试结果：[]
2016-09-14_10_47_50 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_49_05 	NORMAL    	Executing precommand
2016-09-14_10_49_05 	NORMAL    	Executing steps
2016-09-14_10_49_05 	NORMAL    	Executing postcommand
2016-09-14_10_49_05 	NORMAL    	Executing verify
2016-09-14_10_49_05 	NORMAL    		实际测试结果：[]
2016-09-14_10_49_05 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_50_28 	NORMAL    	Executing precommand
2016-09-14_10_50_28 	NORMAL    	Executing steps
2016-09-14_10_50_28 	NORMAL    	Executing postcommand
2016-09-14_10_50_28 	NORMAL    	Executing verify
2016-09-14_10_50_28 	NORMAL    		实际测试结果：[]
2016-09-14_10_50_28 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_10_59_52 	NORMAL    	Executing precommand
2016-09-14_10_59_52 	NORMAL    	Executing steps
2016-09-14_10_59_52 	NORMAL    	Executing postcommand
2016-09-14_10_59_52 	NORMAL    	Executing verify
2016-09-14_10_59_52 	NORMAL    		实际测试结果：[]
2016-09-14_10_59_52 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_11_01_27 	NORMAL    	Executing precommand
2016-09-14_11_01_27 	NORMAL    	Executing steps
2016-09-14_11_01_27 	NORMAL    	Executing postcommand
2016-09-14_11_01_27 	NORMAL    	Executing verify
2016-09-14_11_01_27 	NORMAL    		实际测试结果：[]
2016-09-14_11_01_27 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_11_08_39 	NORMAL    	Executing precommand
2016-09-14_11_08_39 	NORMAL    	Executing steps
2016-09-14_11_08_39 	NORMAL    	Executing postcommand
2016-09-14_11_08_39 	NORMAL    	Executing verify
2016-09-14_11_08_39 	NORMAL    		实际测试结果：[]
2016-09-14_11_08_39 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_11_10_51 	NORMAL    	Executing precommand
2016-09-14_11_10_51 	NORMAL    	Executing steps
2016-09-14_11_10_51 	NORMAL    	Executing postcommand
2016-09-14_11_10_51 	NORMAL    	Executing verify
2016-09-14_11_10_51 	NORMAL    		实际测试结果：[]
2016-09-14_11_10_51 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_11_11_55 	NORMAL    	Executing precommand
2016-09-14_11_11_55 	NORMAL    	Executing steps
2016-09-14_11_11_55 	NORMAL    	Executing postcommand
2016-09-14_11_11_55 	NORMAL    	Executing verify
2016-09-14_11_11_55 	NORMAL    		实际测试结果：[]
2016-09-14_11_11_55 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_11_25_25 	NORMAL    	Executing precommand
2016-09-14_11_25_25 	NORMAL    	Executing steps
2016-09-14_11_25_25 	NORMAL    	Executing postcommand
2016-09-14_11_25_25 	NORMAL    	Executing verify
2016-09-14_11_25_25 	NORMAL    		实际测试结果：[]
2016-09-14_11_25_25 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_11_25_57 	NORMAL    	Executing precommand
2016-09-14_11_25_57 	NORMAL    	Executing steps
2016-09-14_11_25_57 	NORMAL    	Executing postcommand
2016-09-14_11_25_57 	NORMAL    	Executing verify
2016-09-14_11_25_57 	NORMAL    		实际测试结果：[]
2016-09-14_11_25_57 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_11_31_27 	NORMAL    	Executing precommand
2016-09-14_11_31_27 	NORMAL    	Executing steps
2016-09-14_11_31_27 	NORMAL    	Executing postcommand
2016-09-14_11_31_27 	NORMAL    	Executing verify
2016-09-14_11_31_27 	NORMAL    		实际测试结果：[]
2016-09-14_11_31_27 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_11_40_40 	NORMAL    	Executing precommand
2016-09-14_11_40_40 	NORMAL    	Executing steps
2016-09-14_11_40_40 	NORMAL    	Executing postcommand
2016-09-14_11_40_40 	NORMAL    	Executing verify
2016-09-14_11_40_40 	NORMAL    		实际测试结果：[]
2016-09-14_11_40_40 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_13_50_07 	NORMAL    	Executing precommand
2016-09-14_13_50_07 	NORMAL    	Executing steps
2016-09-14_13_50_07 	NORMAL    	Executing postcommand
2016-09-14_13_50_07 	NORMAL    	Executing verify
2016-09-14_13_50_07 	NORMAL    		实际测试结果：[]
2016-09-14_13_50_07 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_13_54_05 	NORMAL    	Executing precommand
2016-09-14_13_54_05 	NORMAL    	Executing steps
2016-09-14_13_54_05 	NORMAL    	Executing postcommand
2016-09-14_13_54_05 	NORMAL    	Executing verify
2016-09-14_13_54_05 	NORMAL    		实际测试结果：[]
2016-09-14_13_54_05 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-14_14_27_35 	NORMAL    	Executing precommand
2016-09-14_14_27_35 	NORMAL    	Executing steps
2016-09-14_14_27_35 	NORMAL    	Executing postcommand
2016-09-14_14_27_35 	NORMAL    	Executing verify
2016-09-14_14_27_35 	NORMAL    		实际测试结果：[]
2016-09-14_14_27_35 	PASS      		Verify complete.[前置操作]
