
**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_15_05_27 	NORMAL    	Executing precommand
2016-09-13_15_05_27 	NORMAL    	Executing steps
2016-09-13_15_05_27 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_15_05_27 	ERROR     	Message: Element is not clickable at point (528, 295). Other element would receive the click: <div id="loading"></div>

2016-09-13_15_05_27 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_15_05_37 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-13_15_05_37 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_15_05_37 	PASS      		Step pass.
2016-09-13_15_05_37 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-13_15_05_37 	PASS      		Step pass.
2016-09-13_15_05_37 	NORMAL    	Executing postcommand
2016-09-13_15_05_37 	NORMAL    	Executing verify
2016-09-13_15_05_37 	NORMAL    		实际测试结果：[]
2016-09-13_15_05_37 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_15_12_51 	NORMAL    	Executing precommand
2016-09-13_15_12_51 	NORMAL    	Executing steps
2016-09-13_15_12_51 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_15_12_51 	PASS      		Step pass.
2016-09-13_15_12_51 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_15_13_01 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-13_15_13_01 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_15_13_01 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-13_15_13_01 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-13_15_13_01 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-13_15_13_01 	NORMAL    	Executing postcommand
2016-09-13_15_13_01 	NORMAL    	Executing verify
2016-09-13_15_13_01 	NORMAL    		实际测试结果：[]
2016-09-13_15_13_01 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_15_29_23 	NORMAL    	Executing precommand
2016-09-13_15_29_23 	NORMAL    	Executing steps
2016-09-13_15_29_23 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_15_29_23 	PASS      		Step pass.
2016-09-13_15_29_23 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_15_29_24 	PASS      		Step pass.
2016-09-13_15_29_24 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_15_29_24 	PASS      		Step pass.
2016-09-13_15_29_24 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
