
**************  Bruce Luo(罗科峰)'s sample test [5[asdf]]  ***************
2016-09-13_15_05_19 	NORMAL    	Executing precommand
2016-09-13_15_05_19 	NORMAL    	Executing steps
2016-09-13_15_05_19 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_15_05_22 	PASS      		Step pass.
2016-09-13_15_05_22 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_15_05_22 	PASS      		Step pass.
2016-09-13_15_05_22 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_15_05_23 	PASS      		Step pass.
2016-09-13_15_05_23 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_15_05_23 	PASS      		Step pass.
2016-09-13_15_05_23 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_15_05_23 	PASS      		Step pass.
2016-09-13_15_05_23 	NORMAL    	Executing postcommand
2016-09-13_15_05_23 	NORMAL    	Executing verify
2016-09-13_15_05_23 	NORMAL    		实际测试结果：[]
2016-09-13_15_05_23 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [5[asdf]]  ***************
2016-09-13_19_44_47 	NORMAL    	Executing precommand
2016-09-13_19_44_47 	NORMAL    	Executing steps
2016-09-13_19_44_47 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_19_44_49 	PASS      		Step pass.
2016-09-13_19_44_50 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_19_44_50 	PASS      		Step pass.
2016-09-13_19_44_50 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_19_44_51 	PASS      		Step pass.
2016-09-13_19_44_51 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_19_44_51 	PASS      		Step pass.
2016-09-13_19_44_51 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_19_44_51 	PASS      		Step pass.
2016-09-13_19_44_51 	NORMAL    	Executing postcommand
2016-09-13_19_44_51 	NORMAL    	Executing verify
2016-09-13_19_44_51 	NORMAL    		实际测试结果：[]
2016-09-13_19_44_51 	PASS      		Verify complete.[前置操作]
