
**************  Bruce Luo(罗科峰)'s sample test [ATP-1[自动登录教学中心]]  ***************
2016-09-18_13_45_04 	NORMAL    	Executing precommand
2016-09-18_13_45_04 	STEP      		Step_1_info->ef
2016-09-18_13_45_04 	ERROR     	'module' object has no attribute 'ef'
2016-09-18_13_45_04 	STEP      		Step_2_info->test
2016-09-18_13_45_04 	ERROR     	'module' object has no attribute 'test'
2016-09-18_13_45_04 	NORMAL    	Executing steps
2016-09-18_13_45_04 	STEP      		Step_1_info->Set("prepareLogin")
2016-09-18_13_45_04 	ERROR     	'module' object has no attribute 'Set'
2016-09-18_13_45_04 	STEP      		Step_2_info->Get("http://192.168.102.102:8002/portal/ClientApi/prepareLogin")
2016-09-18_13_45_04 	ERROR     	'module' object has no attribute 'Get'
2016-09-18_13_45_04 	NORMAL    	Executing postcommand
2016-09-18_13_45_04 	STEP      		Step_1_info->Set("prepareLogin",user_account=DyData("userAccount"))
2016-09-18_13_45_04 	ERROR     	'module' object has no attribute 'Set'
2016-09-18_13_45_04 	STEP      		Step_2_info->Set("prepareLogin",user_name=DyData("userInfo"))
2016-09-18_13_45_04 	ERROR     	'module' object has no attribute 'Set'
2016-09-18_13_45_04 	NORMAL    	Executing verify
2016-09-18_13_45_04 	ERROR     	'module' object has no attribute 'Contain'
