
**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_14_49_07 	NORMAL    	Executing precommand
2016-09-29_14_49_07 	NORMAL    	Executing steps
2016-09-29_14_49_07 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_14_49_07 	PASS      		Step pass.
2016-09-29_14_49_07 	NORMAL    	Executing postcommand
2016-09-29_14_49_07 	NORMAL    	Executing verify
2016-09-29_14_49_07 	NORMAL    		实际测试结果：[]
2016-09-29_14_49_07 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_14_52_06 	NORMAL    	Executing precommand
2016-09-29_14_52_06 	NORMAL    	Executing steps
2016-09-29_14_52_06 	NORMAL    	Executing postcommand
2016-09-29_14_52_06 	NORMAL    	Executing verify
2016-09-29_14_52_06 	NORMAL    		实际测试结果：[]
2016-09-29_14_52_06 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_14_52_37 	NORMAL    	Executing precommand
2016-09-29_14_52_37 	NORMAL    	Executing steps
2016-09-29_14_52_37 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_14_52_37 	PASS      		Step pass.
2016-09-29_14_52_37 	NORMAL    	Executing postcommand
2016-09-29_14_52_37 	NORMAL    	Executing verify
2016-09-29_14_52_37 	NORMAL    		实际测试结果：[]
2016-09-29_14_52_37 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_14_52_39 	NORMAL    	Executing precommand
2016-09-29_14_52_39 	NORMAL    	Executing steps
2016-09-29_14_52_39 	NORMAL    	Executing postcommand
2016-09-29_14_52_39 	NORMAL    	Executing verify
2016-09-29_14_52_39 	NORMAL    		实际测试结果：[]
2016-09-29_14_52_39 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_14_53_11 	NORMAL    	Executing precommand
2016-09-29_14_53_11 	NORMAL    	Executing steps
2016-09-29_14_53_11 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_14_53_11 	PASS      		Step pass.
2016-09-29_14_53_11 	NORMAL    	Executing postcommand
2016-09-29_14_53_11 	NORMAL    	Executing verify
2016-09-29_14_53_11 	NORMAL    		实际测试结果：[]
2016-09-29_14_53_11 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_14_54_51 	NORMAL    	Executing precommand
2016-09-29_14_54_51 	NORMAL    	Executing steps
2016-09-29_14_54_51 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_14_54_51 	PASS      		Step pass.
2016-09-29_14_54_51 	NORMAL    	Executing postcommand
2016-09-29_14_54_51 	NORMAL    	Executing verify
2016-09-29_14_54_51 	NORMAL    		实际测试结果：[]
2016-09-29_14_54_51 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_14_55_18 	NORMAL    	Executing precommand
2016-09-29_14_55_18 	NORMAL    	Executing steps
2016-09-29_14_55_18 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_14_55_18 	PASS      		Step pass.
2016-09-29_14_55_18 	NORMAL    	Executing postcommand
2016-09-29_14_55_18 	NORMAL    	Executing verify
2016-09-29_14_55_18 	NORMAL    		实际测试结果：[]
2016-09-29_14_55_18 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_14_55_56 	NORMAL    	Executing precommand
2016-09-29_14_55_56 	NORMAL    	Executing steps
2016-09-29_14_55_56 	STEP      		Step_1_info->WindowP.StartAppliaction(r"D:\auto\buffer\AiSchool\AiTeacherCenter\AiTeacherCenter\AiTeacher.exe")
2016-09-29_14_55_56 	PASS      		Step pass.
2016-09-29_14_55_56 	NORMAL    	Executing postcommand
2016-09-29_14_55_56 	NORMAL    	Executing verify
2016-09-29_14_55_56 	NORMAL    		实际测试结果：[]
2016-09-29_14_55_56 	PASS      		Verify complete.[Start example test.]

**************  Bruce Luo(罗科峰)'s sample test [a1[]]  ***************
2016-09-29_14_57_35 	NORMAL    	Executing precommand
2016-09-29_14_57_35 	NORMAL    	Executing steps
