
**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_11_22_53 	NORMAL    	Executing precommand
2016-09-29_11_22_53 	NORMAL    	Executing steps
2016-09-29_11_22_53 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_11_22_55 	PASS      		Step pass.
2016-09-29_11_22_55 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_11_22_56 	PASS      		Step pass.
2016-09-29_11_22_56 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_11_22_56 	PASS      		Step pass.
2016-09-29_11_22_56 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_11_22_57 	PASS      		Step pass.
2016-09-29_11_22_57 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_11_22_57 	PASS      		Step pass.
2016-09-29_11_22_57 	NORMAL    	Executing postcommand
2016-09-29_11_22_57 	NORMAL    	Executing verify
2016-09-29_11_22_57 	NORMAL    		实际测试结果：[]
2016-09-29_11_22_57 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_11_24_45 	NORMAL    	Executing precommand
2016-09-29_11_24_45 	NORMAL    	Executing steps
2016-09-29_11_24_45 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_11_24_47 	PASS      		Step pass.
2016-09-29_11_24_47 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_11_24_48 	PASS      		Step pass.
2016-09-29_11_24_48 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_11_24_48 	PASS      		Step pass.
2016-09-29_11_24_48 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_11_24_48 	PASS      		Step pass.
2016-09-29_11_24_48 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_11_24_48 	PASS      		Step pass.
2016-09-29_11_24_48 	NORMAL    	Executing postcommand
2016-09-29_11_24_48 	NORMAL    	Executing verify
2016-09-29_11_24_48 	NORMAL    		实际测试结果：[]
2016-09-29_11_24_48 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_11_25_50 	NORMAL    	Executing precommand
2016-09-29_11_25_50 	NORMAL    	Executing steps
2016-09-29_11_25_50 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_11_25_52 	PASS      		Step pass.
2016-09-29_11_25_52 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_11_25_53 	PASS      		Step pass.
2016-09-29_11_25_53 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_11_25_53 	PASS      		Step pass.
2016-09-29_11_25_53 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_11_25_53 	PASS      		Step pass.
2016-09-29_11_25_53 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_11_25_54 	PASS      		Step pass.
2016-09-29_11_25_54 	NORMAL    	Executing postcommand
2016-09-29_11_25_54 	NORMAL    	Executing verify
2016-09-29_11_25_54 	NORMAL    		实际测试结果：[]
2016-09-29_11_25_54 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_11_26_35 	NORMAL    	Executing precommand
2016-09-29_11_26_35 	NORMAL    	Executing steps
2016-09-29_11_26_35 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_11_26_37 	PASS      		Step pass.
2016-09-29_11_26_37 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_11_26_37 	PASS      		Step pass.
2016-09-29_11_26_37 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_11_26_38 	PASS      		Step pass.
2016-09-29_11_26_38 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_11_26_38 	PASS      		Step pass.
2016-09-29_11_26_38 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_11_26_38 	PASS      		Step pass.
2016-09-29_11_26_38 	NORMAL    	Executing postcommand
2016-09-29_11_26_38 	NORMAL    	Executing verify
2016-09-29_11_26_38 	NORMAL    		实际测试结果：[]
2016-09-29_11_26_38 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_11_28_29 	NORMAL    	Executing precommand
2016-09-29_11_28_29 	NORMAL    	Executing steps
2016-09-29_11_28_29 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_11_28_31 	PASS      		Step pass.
2016-09-29_11_28_31 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_11_28_31 	PASS      		Step pass.
2016-09-29_11_28_31 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_11_28_32 	PASS      		Step pass.
2016-09-29_11_28_32 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_11_28_32 	PASS      		Step pass.
2016-09-29_11_28_32 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_11_28_32 	PASS      		Step pass.
2016-09-29_11_28_32 	NORMAL    	Executing postcommand
2016-09-29_11_28_32 	NORMAL    	Executing verify
2016-09-29_11_28_32 	NORMAL    		实际测试结果：[]
2016-09-29_11_28_32 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_11_30_47 	NORMAL    	Executing precommand
2016-09-29_11_30_47 	NORMAL    	Executing steps
2016-09-29_11_30_47 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_11_30_48 	PASS      		Step pass.
2016-09-29_11_30_48 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_11_30_49 	PASS      		Step pass.
2016-09-29_11_30_49 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_11_30_49 	PASS      		Step pass.
2016-09-29_11_30_49 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_11_30_49 	PASS      		Step pass.
2016-09-29_11_30_49 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_11_30_49 	PASS      		Step pass.
2016-09-29_11_30_49 	NORMAL    	Executing postcommand
2016-09-29_11_30_49 	NORMAL    	Executing verify
2016-09-29_11_30_49 	NORMAL    		实际测试结果：[]
2016-09-29_11_30_49 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_11_33_13 	NORMAL    	Executing precommand
2016-09-29_11_33_13 	NORMAL    	Executing steps
2016-09-29_11_33_13 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_11_33_15 	PASS      		Step pass.
2016-09-29_11_33_15 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_11_33_16 	PASS      		Step pass.
2016-09-29_11_33_16 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_11_33_16 	PASS      		Step pass.
2016-09-29_11_33_16 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_11_33_16 	PASS      		Step pass.
2016-09-29_11_33_16 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_11_33_16 	PASS      		Step pass.
2016-09-29_11_33_16 	NORMAL    	Executing postcommand
2016-09-29_11_33_16 	NORMAL    	Executing verify
2016-09-29_11_33_16 	NORMAL    		实际测试结果：[]
2016-09-29_11_33_16 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_11_35_28 	NORMAL    	Executing precommand
2016-09-29_11_35_28 	NORMAL    	Executing steps
2016-09-29_11_35_28 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_11_35_30 	PASS      		Step pass.
2016-09-29_11_35_30 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_11_35_31 	PASS      		Step pass.
2016-09-29_11_35_31 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_11_35_31 	PASS      		Step pass.
2016-09-29_11_35_31 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_11_35_31 	PASS      		Step pass.
2016-09-29_11_35_31 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-29_11_35_31 	PASS      		Step pass.
2016-09-29_11_35_31 	NORMAL    	Executing postcommand
2016-09-29_11_35_32 	NORMAL    	Executing verify
2016-09-29_11_35_32 	NORMAL    		实际测试结果：[]
2016-09-29_11_35_32 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-29_11_37_39 	NORMAL    	Executing precommand
2016-09-29_11_37_39 	NORMAL    	Executing steps
2016-09-29_11_37_39 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-29_11_37_41 	PASS      		Step pass.
2016-09-29_11_37_41 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-29_11_37_42 	PASS      		Step pass.
2016-09-29_11_37_42 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-29_11_37_42 	PASS      		Step pass.
2016-09-29_11_37_42 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-29_11_37_42 	PASS      		Step pass.
2016-09-29_11_37_42 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
