
**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-17_09_41_47 	NORMAL    	Executing precommand
2016-05-17_09_41_47 	STEP      		Step_1_info->{}
2016-05-17_09_41_47 	STEP      		Step_2_info->{}
2016-05-17_09_41_47 	NORMAL    	Executing steps
2016-05-17_09_41_47 	STEP      		Step_1_info->action_set_for_http("prepareLogin")
2016-05-17_09_41_47 	STEP      		Step_2_info->action_get_for_http("http://192.168.102.102:8002/portal/ClientApi/prepareLogin")
2016-05-17_09_41_47 	NORMAL    	Executing postcommand
2016-05-17_09_41_47 	STEP      		Step_1_info->action_set_for_http("prepareLogin",user_account=DyData("userAccount"))
2016-05-17_09_41_47 	STEP      		Step_2_info->action_set_for_http("prepareLogin",user_name=DyData("userInfo"))
2016-05-17_09_41_47 	NORMAL    	Executing verify
2016-05-17_09_41_47 	NORMAL    	看，飞机，飞机，飞机！！！
2016-05-17_09_41_47 	FAIL      		Complete.[Contain("\"resultCode\":0")]

**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-17_14_30_02 	NORMAL    	Executing precommand
2016-05-17_14_30_02 	STEP      		Step_1_info->{}
2016-05-17_14_30_02 	STEP      		Step_2_info->{}
2016-05-17_14_30_02 	NORMAL    	Executing steps
2016-05-17_14_30_02 	STEP      		Step_1_info->action_set_for_http("prepareLogin")
2016-05-17_14_30_02 	STEP      		Step_2_info->action_get_for_http("http://192.168.102.102:8002/portal/ClientApi/prepareLogin")
2016-05-17_14_30_02 	NORMAL    	Executing postcommand
2016-05-17_14_30_02 	STEP      		Step_1_info->action_set_for_http("prepareLogin",user_account=DyData("userAccount"))
2016-05-17_14_30_02 	STEP      		Step_2_info->action_set_for_http("prepareLogin",user_name=DyData("userInfo"))
2016-05-17_14_30_02 	NORMAL    	Executing verify
2016-05-17_14_30_02 	NORMAL    	看，飞机，飞机，飞机！！！
2016-05-17_14_30_02 	FAIL      		Complete.[Contain("\"resultCode\":0")]
