
**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-05_15_33_29 	NORMAL    	Executing precommand
2016-09-05_15_33_29 	NORMAL    	Executing steps
2016-09-05_15_33_29 	NORMAL    	Executing postcommand
2016-09-05_15_33_29 	NORMAL    	Executing verify
2016-09-05_15_33_29 	NORMAL    		实际测试结果：[]
2016-09-05_15_33_29 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-05_15_48_19 	NORMAL    	Executing precommand
2016-09-05_15_48_19 	NORMAL    	Executing steps
2016-09-05_15_48_19 	NORMAL    	Executing postcommand
2016-09-05_15_48_19 	NORMAL    	Executing verify
2016-09-05_15_48_19 	NORMAL    		实际测试结果：[]
2016-09-05_15_48_19 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-05_15_53_53 	NORMAL    	Executing precommand
2016-09-05_15_53_53 	NORMAL    	Executing steps
2016-09-05_15_53_53 	NORMAL    	Executing postcommand
2016-09-05_15_53_53 	NORMAL    	Executing verify
2016-09-05_15_53_53 	NORMAL    		实际测试结果：[]
2016-09-05_15_53_53 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-05_16_03_32 	NORMAL    	Executing precommand
2016-09-05_16_03_32 	NORMAL    	Executing steps
2016-09-05_16_03_32 	NORMAL    	Executing postcommand
2016-09-05_16_03_32 	NORMAL    	Executing verify
2016-09-05_16_03_32 	NORMAL    		实际测试结果：[]
2016-09-05_16_03_32 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-05_16_37_48 	NORMAL    	Executing precommand
2016-09-05_16_37_48 	NORMAL    	Executing steps
2016-09-05_16_37_48 	NORMAL    	Executing postcommand
2016-09-05_16_37_48 	NORMAL    	Executing verify
2016-09-05_16_37_48 	NORMAL    		实际测试结果：[]
2016-09-05_16_37_48 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-05_16_39_29 	NORMAL    	Executing precommand
2016-09-05_16_39_29 	NORMAL    	Executing steps
2016-09-05_16_39_29 	NORMAL    	Executing postcommand
2016-09-05_16_39_29 	NORMAL    	Executing verify
2016-09-05_16_39_29 	NORMAL    		实际测试结果：[]
2016-09-05_16_39_29 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-05_16_46_35 	NORMAL    	Executing precommand
2016-09-05_16_46_35 	NORMAL    	Executing steps
2016-09-05_16_46_35 	NORMAL    	Executing postcommand
2016-09-05_16_46_35 	NORMAL    	Executing verify
2016-09-05_16_46_35 	NORMAL    		实际测试结果：[]
2016-09-05_16_46_35 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-05_16_48_06 	NORMAL    	Executing precommand
2016-09-05_16_48_06 	NORMAL    	Executing steps
2016-09-05_16_48_06 	NORMAL    	Executing postcommand
2016-09-05_16_48_06 	NORMAL    	Executing verify
2016-09-05_16_48_06 	NORMAL    		实际测试结果：[]
2016-09-05_16_48_06 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-05_16_54_30 	NORMAL    	Executing precommand
2016-09-05_16_54_30 	NORMAL    	Executing steps
2016-09-05_16_54_30 	NORMAL    	Executing postcommand
2016-09-05_16_54_30 	NORMAL    	Executing verify
2016-09-05_16_54_30 	NORMAL    		实际测试结果：[]
2016-09-05_16_54_30 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-05_16_58_41 	NORMAL    	Executing precommand
2016-09-05_16_58_41 	NORMAL    	Executing steps
2016-09-05_16_58_41 	NORMAL    	Executing postcommand
2016-09-05_16_58_41 	NORMAL    	Executing verify
2016-09-05_16_58_41 	NORMAL    		实际测试结果：[]
2016-09-05_16_58_41 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-05_17_00_33 	NORMAL    	Executing precommand
2016-09-05_17_00_33 	NORMAL    	Executing steps
2016-09-05_17_00_33 	NORMAL    	Executing postcommand
2016-09-05_17_00_33 	NORMAL    	Executing verify
2016-09-05_17_00_33 	NORMAL    		实际测试结果：[]
2016-09-05_17_00_33 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [1[3]]  ***************
2016-09-05_17_55_09 	NORMAL    	Executing precommand
2016-09-05_17_55_09 	NORMAL    	Executing steps
2016-09-05_17_55_09 	NORMAL    	Executing postcommand
2016-09-05_17_55_09 	NORMAL    	Executing verify
2016-09-05_17_55_09 	NORMAL    		实际测试结果：[]
2016-09-05_17_55_09 	PASS      		Verify complete.[前置操作]
