
**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_15_05_24 	NORMAL    	Executing precommand
2016-09-13_15_05_24 	NORMAL    	Executing steps
2016-09-13_15_05_24 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_15_05_26 	PASS      		Step pass.
2016-09-13_15_05_26 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_15_05_26 	PASS      		Step pass.
2016-09-13_15_05_26 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_15_05_27 	PASS      		Step pass.
2016-09-13_15_05_27 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_15_05_27 	PASS      		Step pass.
2016-09-13_15_05_27 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_15_05_27 	PASS      		Step pass.
2016-09-13_15_05_27 	NORMAL    	Executing postcommand
2016-09-13_15_05_27 	NORMAL    	Executing verify
2016-09-13_15_05_27 	NORMAL    		实际测试结果：[]
2016-09-13_15_05_27 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_15_12_47 	NORMAL    	Executing precommand
2016-09-13_15_12_47 	NORMAL    	Executing steps
2016-09-13_15_12_47 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_15_12_49 	PASS      		Step pass.
2016-09-13_15_12_49 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_15_12_50 	PASS      		Step pass.
2016-09-13_15_12_50 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_15_12_50 	PASS      		Step pass.
2016-09-13_15_12_50 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_15_12_51 	PASS      		Step pass.
2016-09-13_15_12_51 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_15_12_51 	PASS      		Step pass.
2016-09-13_15_12_51 	NORMAL    	Executing postcommand
2016-09-13_15_12_51 	NORMAL    	Executing verify
2016-09-13_15_12_51 	NORMAL    		实际测试结果：[]
2016-09-13_15_12_51 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_15_29_20 	NORMAL    	Executing precommand
2016-09-13_15_29_20 	NORMAL    	Executing steps
2016-09-13_15_29_20 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_15_29_22 	PASS      		Step pass.
2016-09-13_15_29_22 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_15_29_23 	PASS      		Step pass.
2016-09-13_15_29_23 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_15_29_23 	PASS      		Step pass.
2016-09-13_15_29_23 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_15_29_23 	PASS      		Step pass.
2016-09-13_15_29_23 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_15_29_23 	PASS      		Step pass.
2016-09-13_15_29_23 	NORMAL    	Executing postcommand
2016-09-13_15_29_23 	NORMAL    	Executing verify
2016-09-13_15_29_23 	NORMAL    		实际测试结果：[]
2016-09-13_15_29_23 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_15_30_29 	NORMAL    	Executing precommand
2016-09-13_15_30_29 	NORMAL    	Executing steps
2016-09-13_15_30_29 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_15_30_31 	PASS      		Step pass.
2016-09-13_15_30_31 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_15_30_32 	PASS      		Step pass.
2016-09-13_15_30_32 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_15_30_33 	PASS      		Step pass.
2016-09-13_15_30_33 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_15_30_33 	PASS      		Step pass.
2016-09-13_15_30_33 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_15_30_33 	PASS      		Step pass.
2016-09-13_15_30_33 	NORMAL    	Executing postcommand
2016-09-13_15_30_33 	NORMAL    	Executing verify
2016-09-13_15_30_33 	NORMAL    		实际测试结果：[]
2016-09-13_15_30_33 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_15_38_30 	NORMAL    	Executing precommand
2016-09-13_15_38_30 	NORMAL    	Executing steps
2016-09-13_15_38_30 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_15_38_32 	PASS      		Step pass.
2016-09-13_15_38_32 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_15_38_32 	PASS      		Step pass.
2016-09-13_15_38_32 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
2016-09-13_15_38_33 	PASS      		Step pass.
2016-09-13_15_38_33 	STEP      		Step_4_info->Login.LoginPasswordInput.Set("sdfe")
2016-09-13_15_38_33 	PASS      		Step pass.
2016-09-13_15_38_33 	STEP      		Step_5_info->Login.LoginCheckCode.Set("1515")
2016-09-13_15_38_33 	PASS      		Step pass.
2016-09-13_15_38_33 	NORMAL    	Executing postcommand
2016-09-13_15_38_33 	NORMAL    	Executing verify
2016-09-13_15_38_33 	NORMAL    		实际测试结果：[]
2016-09-13_15_38_33 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [2[asdf]]  ***************
2016-09-13_16_21_46 	NORMAL    	Executing precommand
2016-09-13_16_21_46 	NORMAL    	Executing steps
2016-09-13_16_21_46 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-13_16_21_48 	PASS      		Step pass.
2016-09-13_16_21_48 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-13_16_21_49 	PASS      		Step pass.
2016-09-13_16_21_49 	STEP      		Step_3_info->Login.LoginAccountInput.Set("aeoijf")
