
**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-21_16_51_50 	NORMAL    	Executing precommand
2016-09-21_16_51_50 	NORMAL    	Executing steps
2016-09-21_16_51_50 	NORMAL    	Executing postcommand
2016-09-21_16_51_50 	NORMAL    	Executing verify
2016-09-21_16_51_50 	NORMAL    		实际测试结果：[]
2016-09-21_16_51_50 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-21_16_54_04 	NORMAL    	Executing precommand
2016-09-21_16_54_04 	NORMAL    	Executing steps
2016-09-21_16_54_04 	NORMAL    	Executing postcommand
2016-09-21_16_54_04 	NORMAL    	Executing verify
2016-09-21_16_54_04 	NORMAL    		实际测试结果：[]
2016-09-21_16_54_04 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-21_16_54_24 	NORMAL    	Executing precommand
2016-09-21_16_54_24 	NORMAL    	Executing steps
2016-09-21_16_54_24 	NORMAL    	Executing postcommand
2016-09-21_16_54_24 	NORMAL    	Executing verify
2016-09-21_16_54_24 	NORMAL    		实际测试结果：[]
2016-09-21_16_54_24 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-21_16_56_36 	NORMAL    	Executing precommand
2016-09-21_16_56_36 	NORMAL    	Executing steps
2016-09-21_16_56_36 	NORMAL    	Executing postcommand
2016-09-21_16_56_36 	NORMAL    	Executing verify
2016-09-21_16_56_36 	NORMAL    		实际测试结果：[]
2016-09-21_16_56_36 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-21_17_14_57 	NORMAL    	Executing precommand
2016-09-21_17_14_57 	NORMAL    	Executing steps
2016-09-21_17_14_57 	NORMAL    	Executing postcommand
2016-09-21_17_14_57 	NORMAL    	Executing verify
2016-09-21_17_14_57 	NORMAL    		实际测试结果：[]
2016-09-21_17_14_57 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-21_17_16_43 	NORMAL    	Executing precommand
2016-09-21_17_16_43 	NORMAL    	Executing steps
2016-09-21_17_16_43 	NORMAL    	Executing postcommand
2016-09-21_17_16_43 	NORMAL    	Executing verify
2016-09-21_17_16_43 	NORMAL    		实际测试结果：[]
2016-09-21_17_16_43 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-21_17_22_28 	NORMAL    	Executing precommand
2016-09-21_17_22_28 	NORMAL    	Executing steps
2016-09-21_17_22_28 	NORMAL    	Executing postcommand
2016-09-21_17_22_28 	NORMAL    	Executing verify
2016-09-21_17_22_28 	NORMAL    		实际测试结果：[]
2016-09-21_17_22_28 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-21_17_24_44 	NORMAL    	Executing precommand
2016-09-21_17_24_44 	NORMAL    	Executing steps
2016-09-21_17_24_44 	NORMAL    	Executing postcommand
2016-09-21_17_24_44 	NORMAL    	Executing verify
2016-09-21_17_24_44 	NORMAL    		实际测试结果：[]
2016-09-21_17_24_44 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-21_17_26_38 	NORMAL    	Executing precommand
2016-09-21_17_26_38 	NORMAL    	Executing steps
2016-09-21_17_26_38 	NORMAL    	Executing postcommand
2016-09-21_17_26_38 	NORMAL    	Executing verify
2016-09-21_17_26_38 	NORMAL    		实际测试结果：[]
2016-09-21_17_26_38 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a1[3]]  ***************
2016-09-21_17_30_22 	NORMAL    	Executing precommand
2016-09-21_17_30_22 	NORMAL    	Executing steps
2016-09-21_17_30_22 	NORMAL    	Executing postcommand
2016-09-21_17_30_22 	NORMAL    	Executing verify
2016-09-21_17_30_22 	NORMAL    		实际测试结果：[]
2016-09-21_17_30_22 	PASS      		Verify complete.[前置操作]
