
**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-21_16_51_50 	NORMAL    	Executing precommand
2016-09-21_16_51_50 	NORMAL    	Executing steps
2016-09-21_16_51_50 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-21_16_51_52 	PASS      		Step pass.
2016-09-21_16_51_52 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-21_16_51_53 	PASS      		Step pass.
2016-09-21_16_51_53 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-21_16_51_54 	PASS      		Step pass.
2016-09-21_16_51_54 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-21_16_51_54 	PASS      		Step pass.
2016-09-21_16_51_54 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-21_16_51_54 	PASS      		Step pass.
2016-09-21_16_51_54 	NORMAL    	Executing postcommand
2016-09-21_16_51_54 	NORMAL    	Executing verify
2016-09-21_16_51_54 	NORMAL    		实际测试结果：[]
2016-09-21_16_51_54 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-21_16_54_04 	NORMAL    	Executing precommand
2016-09-21_16_54_04 	NORMAL    	Executing steps
2016-09-21_16_54_04 	STEP      		Step_1_info->Browser.Init("firefox")
2016-09-21_16_54_06 	PASS      		Step pass.
2016-09-21_16_54_06 	STEP      		Step_2_info->Browser.NavigateTo("http://192.168.102.241:8003/manager/")
2016-09-21_16_54_07 	PASS      		Step pass.
2016-09-21_16_54_07 	STEP      		Step_3_info->LoginWeb.LoginAccountInput.Set("aeoijf")
2016-09-21_16_54_07 	PASS      		Step pass.
2016-09-21_16_54_07 	STEP      		Step_4_info->LoginWeb.LoginPasswordInput.Set("sdfe")
2016-09-21_16_54_07 	PASS      		Step pass.
2016-09-21_16_54_07 	STEP      		Step_5_info->LoginWeb.LoginCheckCode.Set("1515")
2016-09-21_16_54_07 	PASS      		Step pass.
2016-09-21_16_54_07 	NORMAL    	Executing postcommand
2016-09-21_16_54_07 	NORMAL    	Executing verify
2016-09-21_16_54_07 	NORMAL    		实际测试结果：[]
2016-09-21_16_54_07 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [a2[asdf]]  ***************
2016-09-21_16_54_24 	NORMAL    	Executing precommand
2016-09-21_16_54_24 	NORMAL    	Executing steps
